Firstname,Lastname,Pos,Team,Level,Pro Years
Fleet,Cowell,LF,WISC,AA,0
Thomas,Sanders,C,ELP,A,0
Joel,Rumfelt,2B,ROCK,A,0
Mays,McCarter,SS,LYNC,AA,0
Murray,Haas,P,LYNC,ML,10
Bill,Say,1B,SCRN,A,0
Jay,Harelson,2B,ELP,A,0
George,Moreno,3B,Free Agent,A,0
Aurelio,Nouri,RF,WISC,AA,0
Walt,Michaux,P,Free Agent,A,0
Clay,Williams,P,Free Agent,A,1
Jeffrey,Pudlinski,RF,CASP,AAA,0
Anthony,Lee,SS,SCRN,A,0
Louis,Polston,LF,MAIN,A,0
Ken,Trefry,P,ALTO,AA,0
Anthony,Andrews,P,ELP,AA,0
Rene,Templeton,P,Free Agent,A,0
Bill,Poole,P,Free Agent,A,0
Ernie,Diaz,P,MAIN,AAA,0
Jorge,Wenrich,P,AUCK,AA,0
Ozzie,Holland,P,Free Agent,A,0
Hack,Adauto,P,Free Agent,A,0
Klondike,Nelson,P,Free Agent,A,0
Nickolas,Varona,CF,ROME,A,0
Ira,Tipton,C,SCRN,AA,0
Gerard,Coda,CF,TEX,AA,0
Bill,Mennie,3B,ALTO,AA,0
Arthur,Evans,3B,Free Agent,A,0
Ray,Clark,SS,Free Agent,A,0
John,Reddin,CF,Free Agent,A,0
Bill,Cooper,P,MAHO,AAA,1
Leo,Harris,C,Free Agent,A,0
Anthony,Schmal,P,LOUI,AAA,0
Craig,Simmons,C,Free Agent,A,0
Vernon,Trull,RF,SCRN,A,0
Andrew,Varvaro,P,RICH,A,0
Jerald,Fuentes,P,ROME,A,0
Corey,Willette,P,OKC,A,0
Timothy,Duran,CF,NORW,AA,0
John,Lawson,P,MAHO,ML,3
Brandon,Jorgenson,CF,Free Agent,A,0
Will,Latham,P,OMA,A,0
George,Napp,2B,SCRN,AA,0
Bill,Garcia,1B,ALTO,ML,2
Matt,Henry,P,Free Agent,A,0
Matty,Rhodes,P,Free Agent,A,0
Kent,Tekulve,P,LYNC,AA,0
Alexander,Juarez,P,Free Agent,A,0
Derrick,Payson,P,CHES,A,0
Fernando,Majcher,P,Free Agent,A,0
Greg,Berling,P,Free Agent,A,0
Ted,Struthers,P,Free Agent,A,0
Rob,Scott,P,Free Agent,A,0
Bryan,Whitt,P,SCRN,AA,0
Carl,Leitz,P,SUGR,A,0
Jeremy,Dase,P,OKC,A,0
Bob,Vallejo,RF,Free Agent,A,0
Bob,Robinson,RF,Free Agent,A,0
Josh,Goodwin,RF,CASP,AA,0
Stewart,Castrellon,P,BANG,A,0
Mark,Wells,CF,CASP,AA,0
Merlin,Singler,CF,Free Agent,A,0
Dave,Askew,P,ROME,A,0
Trace,Galvez,P,SCRN,A,0
Clint,Benson,P,WISC,AAA,0
Jim,Rogers,1B,IDA,AA,0
Bill,Lafontant,RF,CASP,A,0
Tormund,Giantsbane,SS,NORW,AA,0
Harold,Rouleau,3B,Free Agent,A,0
Hanley,Lyon,CF,CASP,AA,0
Jim,Beckner,1B,Free Agent,A,0
Muddy,Ruel,3B,ROCK,ML,8
Tommy,Humphrey,CF,EDMO,AA,0
Clifford,Thomas,P,Free Agent,A,0
Joseph,Reeds,LF,SF,A,0
Clifford,Veres,P,Free Agent,A,0
Monk,Simmons,P,OMA,AA,0
George,Goggin,LF,MAIN,A,0
Jim,Tate,P,Free Agent,A,0
Daryl,Brutger,P,Free Agent,A,0
Will,Leone,1B,ROCK,A,0
Christopher,Mitchell,P,LOUI,AA,0
Paco,Jacome,P,Free Agent,A,0
Tom,Hunt,P,Free Agent,A,0
Sam,Crews,P,PORT,A,5
Norm,McDonnell,P,Free Agent,A,0
Wayne,Kauffman,RF,Free Agent,A,0
Danny,Jones,SS,Free Agent,A,0
Martin,Binney,LF,IDA,AA,0
Tito,Betts,C,Free Agent,A,0
Mark,Thomas,CF,PORT,A,0
Mort,Colburn,2B,Free Agent,A,0
Bill,Amsden,SS,FRIS,A,0
Jim,Mercado,C,MAHO,A,0
Milt,Lynch,1B,Free Agent,A,0
Clarence,Lopez,2B,Free Agent,A,0
Rich,Pledger,C,MIDL,AA,0
Benedict,Hartzell,SS,Free Agent,A,0
Mark,Shea,P,Free Agent,A,7
Bill,Vitti,1B,NORW,A,0
Glenn,Mathison,2B,BANG,A,0
Tex,Taylor,RF,Free Agent,A,0
Shannon,Siwiec,P,ALTO,AA,0
Ken,Day,P,Free Agent,A,0
Sammy,Updike,P,Free Agent,A,0
Oren,McLaughin,P,SF,AA,0
Jack,Hall,3B,DAY,A,0
Captain,Lou,P,PORT,ML,4
Bob,Hodge,P,Free Agent,A,0
Charley,Edmisten,P,Free Agent,A,0
Jeffrey,Small,P,Free Agent,A,0
Mike,Lampkin,P,Free Agent,A,0
Felix,Chang,SS,IDA,A,0
Grady,Pagan,P,Free Agent,A,0
Arthur,Rodriguez,P,Free Agent,A,0
Daquan,Wilson,P,TEX,AAA,0
Clay,Wheatley,1B,Free Agent,A,0
Stanley,Ponder,LF,RICH,A,0
Frank,Bettis,CF,LAKE,A,0
Johnny,Danesi,RF,LOUI,A,0
Harry,Moore,P,FRIS,AA,0
Darryl,Fair,SS,Free Agent,A,0
Robert,Dorrough,2B,Free Agent,A,0
Harris,Derobertis,C,Free Agent,A,0
Larry,Au,3B,IDA,ML,2
John,Hamm,2B,LYNC,AA,0
Jeffery,Riggins,2B,Free Agent,A,0
Bob,Dantzler,3B,Free Agent,A,0
Mark,Moore,P,MAHO,A,0
John,Shaub,3B,IDA,AA,0
Carroll,Harrell,RF,RICH,AA,0
Lew,Fail,P,ROME,A,0
Randy,Lee,P,Free Agent,A,0
Lonnie,Roehrich,P,ALTO,A,0
Ricky,Marum,P,Free Agent,A,0
Frank,Leibman,P,Free Agent,A,0
John,Fiacco,P,Free Agent,A,0
Randy,Tyler,P,MAHO,AA,0
Vincent,McLaughin,P,Free Agent,A,0
Dwight,Endo,P,Free Agent,A,0
Amos,Bernett,LF,TEX,AAA,0
Christopher,Crouser,CF,CASP,AAA,0
Lum,Jones,P,Free Agent,A,0
Kyle,Lacasse,P,Free Agent,A,0
Herm,Wells,C,Free Agent,A,0
Xavier,Roberts,P,LOUI,A,0
Cotton,McKeag,P,CHES,A,0
Walt,Mead,P,ELP,AAA,0
Shawn,Pitts,C,Free Agent,A,0
William,Holman,3B,Free Agent,A,0
Darryl,Shipley,2B,Free Agent,A,0
Will,Power,LF,NORW,AA,0
Brandon,Vanvoorhis,C,Free Agent,A,0
Neil,Dundee,1B,Free Agent,A,0
Bryan,Romito,P,ROCK,A,0
George,Hayes,SS,LYNC,AA,0
Joe,Bolduc,P,ROME,A,0
Bob,Fouhy,LF,Free Agent,A,0
Francois,Lepaque,LF,EDMO,A,12
Brian,Boose,C,LYNC,AA,0
Elmer,Parker,P,HILL,A,0
Luis,Naranja,P,MIDL,AA,0
Johnnie,Gahl,CF,EDMO,AAA,1
Mike,Hull,P,ROME,A,0
Bill,Searcy,P,Free Agent,A,0
Carl,Cheese,P,Free Agent,A,0
Anthony,Madia,P,Free Agent,A,0
Orval,Overall,P,LAKE,AA,0
Duff,Trullinger,P,AUCK,AA,0
Dennis,Taylor,CF,FRIS,AAA,0
Mark,Vanruler,P,Free Agent,A,0
Andrew,Hoell,P,Free Agent,A,0
Anthony,Angalich,1B,EDMO,AAA,0
Tom,Scott,P,Free Agent,A,0
Don,Lavi,P,Free Agent,A,0
Charlie,Monagan,C,Free Agent,A,0
Greg,Blackman,P,FRIS,AAA,2
Erv,Haataja,C,Free Agent,A,0
Oscar,Daniel,C,Free Agent,A,0
Louis,Privette,P,CHES,A,0
Gene,Taylor,2B,ALTO,AAA,0
Kurt,Boykin,P,MAHO,A,0
Hardin,Ardon,CF,BANG,AA,0
Dale,Inskeep,2B,LYNC,AA,0
Randolph,English,P,IDA,A,6
Dean,Cameron,1B,Free Agent,A,0
Marty,Wright,C,IDA,AAA,0
Cameron,Passey,2B,Free Agent,A,0
Kevin,Tillman,2B,RICH,A,0
Jim,Daniels,SS,Free Agent,A,0
Paul,Matchette,2B,IDA,AAA,0
Sergio,Farrare,LF,PEOR,AA,0
Al,Watson,C,RICH,A,0
Alfred,Hanson,C,CASP,AA,0
Ken,Travillian,CF,IDA,AA,0
Shane,Walker,RF,SF,A,0
Francisco,Hoff,P,Free Agent,A,0
Jamie,Cooke,P,Free Agent,A,0
Robert,Arnold,P,Free Agent,A,0
Jason,Coleman,P,IDA,AA,0
Floyd,Woodell,P,PORT,AA,0
Tommie,Grover,P,LOUI,AA,0
Doyle,Burnette,P,Free Agent,A,0
Cotton,Pickens,P,OKC,AA,0
Miguel,Atchison,2B,ELP,A,0
Phil,Hamsher,LF,Free Agent,A,0
Ryan,Jacobson,P,PORT,AAA,0
Joe,Blankenberg,3B,MIDL,A,0
Mark,Depass,1B,PORT,AAA,0
Joe,Holmes,2B,IDA,AA,0
Billy,Perez,3B,Free Agent,A,0
Teddy,Perez,SS,Free Agent,A,0
Frederick,McKeon,SS,FRIS,A,0
Steven,Arent,SS,Free Agent,A,0
Michael,Mannon,LF,ROME,A,0
Dave,Diercks,C,Free Agent,A,0
Eric,Kess,C,ALTO,A,0
Maximo,Reyes,1B,DAY,A,0
Jose,Travers,3B,Free Agent,A,0
Oscar,Gonzales,SS,Free Agent,A,0
Christopher,Young,LF,NORW,AA,0
Ted,Dolan,CF,Free Agent,A,0
Marvin,Myers,2B,CHES,A,0
Joe,Wright,P,Free Agent,A,0
Michael,Boufford,3B,ELP,A,0
Adam,Isom,P,Free Agent,A,0
Joe,Taubman,P,Free Agent,A,0
Mike,Fusco,P,Free Agent,A,0
Kenneth,Salmeron,P,Free Agent,A,0
Ferdinand,Bunk,P,Free Agent,A,0
Mike,Stoessel,P,Free Agent,A,0
Nelson,Caballero,SS,RICH,A,0
Javier,Marcus,P,Free Agent,A,0
Tom,Leandro,LF,TEX,AA,0
Charles,Jordan,LF,OKC,A,0
Dave,Rivard,1B,Free Agent,A,0
Jules,Mallahan,CF,MIDL,AA,0
Dwain,George,2B,PEOR,AA,0
Otto,Pillard,RF,LOUI,AA,0
Zachary,Kinney,CF,LOUI,A,0
Kevin,Cooper,RF,ROME,A,0
Roy,Rardin,LF,DAY,AA,0
Billy,Tenuta,2B,Free Agent,A,0
Elton,Bacha,P,ROME,A,0
Babe,Rodabaugh,P,HILL,A,0
Tyson,Krueger,LF,SCRN,A,0
Miguel,Golphin,CF,CASP,AA,0
Beau,Folger,RF,Free Agent,A,0
Mike,Chirco,P,Free Agent,A,0
Jerrick,Smythe,P,Free Agent,A,0
Nicholas,Pfister,P,LOUI,AA,0
Pedro,Washington,P,MAHO,AA,0
Michael,Subido,P,Free Agent,A,0
Mike,Diehl,P,Free Agent,A,0
Andres,Jernstad,P,Free Agent,A,0
Francis,Pitt,P,Free Agent,A,0
Luther,Arnspiger,P,Free Agent,A,0
Joe,Hayes,P,Free Agent,A,0
Damien,Villarreal,1B,Free Agent,A,0
Chad,Christopher,P,LOUI,A,0
Jeremiah,Dickson,1B,RICH,AA,0
Pete,Soller,SS,Free Agent,A,0
Tim,Geisel,3B,ROME,AA,0
Bob,McDonald,CF,RICH,AA,0
Byron,Rogers,3B,Free Agent,A,0
Noel,Henry,LF,FRIS,AAA,0
Charlie,Padley,P,PORT,ML,2
Tom,Kilkenny,P,WISC,A,0
Bruce,Hutchinson,LF,ROME,AA,0
Henry,Intveld,3B,Free Agent,A,0
Reuben,Kauffman,3B,Free Agent,A,0
Jose,Evans,3B,Free Agent,A,0
Dana,Eatman,LF,DAY,AA,0
Zachary,Leach,3B,PEOR,ML,0
Gerald,Carroll,2B,LOUI,AA,0
Steven,Davis,RF,Free Agent,A,0
Dale,Mosley,RF,IDA,AA,0
Dewey,Lesch,P,MIDL,AA,0
Arthur,Cherry,P,Free Agent,A,0
Jose,Noll,P,Free Agent,A,0
Preston,Prichett,P,LAKE,AA,0
Anthony,Lusco,P,Free Agent,A,0
Dave,Edwards,P,Free Agent,A,0
Cal,Simpkins,P,BANG,A,0
Doug,Amster,P,CHES,AA,0
Louis,Lochridge,P,Free Agent,A,0
Isidro,Benak,P,Free Agent,A,0
Bill,Hanrath,P,FRIS,AAA,0
Matt,Locke,P,IDA,AA,0
Tommy,Kim,P,FRIS,AA,0
Eric,McHorse,P,Free Agent,A,0
Eric,Kemerling,LF,Free Agent,A,0
Willis,Haskins,P,PORT,A,0
Charlie,Carr,LF,ROME,AA,0
Gregorio,Gomez,2B,Free Agent,A,0
Elbert,Bozzo,SS,MIDL,AA,0
Syd,Lucas,P,LAKE,A,0
Roy,Berrett,C,Free Agent,A,0
Josh,Bromberg,1B,IDA,AA,0
Sicnarf,Loopstok,C,RICH,AA,0
Oscar,Medeiros,P,ELP,A,0
Jim,Gunther,3B,Free Agent,A,0
Ralph,Pratt,SS,Free Agent,A,0
Jose,Renteria,P,HILL,A,0
Keith,Burrows,CF,ALTO,AA,0
Rusty,Hernandez,RF,SCRN,AA,0
Sean,Jimenez,P,Free Agent,A,0
Keith,Williams,P,OMA,A,0
Erick,Green,P,Free Agent,A,0
Rob,Leavins,P,Free Agent,A,0
Carl,Matthies,P,IDA,AA,0
Joe,Phillips,P,MIDL,A,0
Dan,Springstead,P,Free Agent,A,0
Billy,Killough,P,Free Agent,A,0
Fidel,Sharp,RF,SCRN,A,0
Joe,Haak,P,Free Agent,A,0
Bryant,Edison,SS,Free Agent,A,0
Rod,Ball,1B,CASP,AA,0
Tom,Riley,2B,WISC,AA,0
Jim,Crosno,3B,HILL,A,0
Willie,Schanno,CF,Free Agent,A,0
Wayne,Honeycut,CF,Free Agent,A,0
Clarence,Lowe,1B,BANG,AA,0
Dale,Townsend,C,Free Agent,A,0
Jimmie,Powell,SS,OKC,A,0
Felix,Hellmuth,2B,SCRN,AA,0
Jean,Sumner,3B,Free Agent,A,0
Ivan,Hobbs,SS,Free Agent,A,0
Jerry,Grossnickle,LF,Free Agent,A,0
Paul,Anderson,CF,FRIS,A,0
Gene,Delmuro,C,Free Agent,A,0
Ivan,Gregory,P,Free Agent,A,0
Robert,Channing,P,Free Agent,A,6
Billy,Graves,SS,SUGR,A,0
Bernardo,Carpenter,P,Free Agent,A,0
Ricardo,Carlson,P,HILL,AA,0
Valentin,Wellard,P,FRIS,AA,0
Luke,Johnson,P,Free Agent,A,0
Curtis,Vang,P,Free Agent,A,0
Garry,Waterer,P,MAIN,AA,0
Tyrone,Resh,P,Free Agent,A,0
Jarrett,Dickinson,CF,ELP,A,0
Nathaniel,Canny,P,MIDL,AA,0
Kevin,Kennedy,C,NORW,A,0
Arden,Cole,3B,Free Agent,A,0
Fred,Breske,1B,Free Agent,A,0
Ed,Moten,2B,Free Agent,A,0
Lawrence,Gigante,LF,Free Agent,A,0
Dan,Feck,SS,Free Agent,A,0
Charles,Griffin,RF,PORT,AAA,0
Wayne,Becnel,SS,Free Agent,A,0
Carlos,Mitchell,1B,ALTO,A,0
Mike,Keator,2B,ELP,A,0
Cecil,Cernohous,1B,Free Agent,A,0
Paul,Walrus,RF,Free Agent,A,0
Greg,Wood,1B,BANG,AA,0
Buddy,Steinhaus,3B,PORT,A,0
Curtis,Hunt,SS,Free Agent,A,0
Billie,Bell,P,TEX,AAA,0
Terry,Allen,LF,Free Agent,A,0
Walker,Irrelevent,3B,ROCK,AA,0
T.R.,Tappendorf,CF,ROME,AA,0
Kyle,Stearns,P,Free Agent,A,0
John,Jorge,P,Free Agent,A,0
Dez,Sands,P,FRIS,AA,0
Curly,Celli,P,Free Agent,A,0
Michael,Gilio,P,Free Agent,A,0
Gerald,Villamil,P,Free Agent,A,0
Booker,Thomas,P,HILL,AA,0
Miguel,Merfeld,P,Free Agent,A,0
Carroll,Anderson,P,Free Agent,A,0
Alfonso,McNary,P,Free Agent,A,0
James,Garnette,P,Free Agent,A,0
Clarence,Vector,LF,PORT,ML,0
Carl,Dieken,3B,NORW,AA,0
Ham,Porter,C,PORT,ML,4
Henry,Horner,RF,IDA,AA,0
Lawrence,Shelton,SS,IDA,ML,2
Studley,Do-Right,RF,PORT,AAA,0
Brian,Fernsler,SS,Free Agent,A,0
Mathew,Kertis,SS,LOUI,A,0
Andrew,Foster,LF,Free Agent,A,0
Dorian,Sandoval,SS,ELP,AA,0
David,Thorson,C,Free Agent,A,0
Eddie,Worman,1B,NORW,AA,0
Andrew,Wheeler,CF,FRIS,A,0
Wilson,Lyalls,SS,Free Agent,A,0
Peaches,Herbert,SS,MIDL,AA,0
Dave,Davies,P,PORT,AAA,0
Dan,Hicks,RF,SCRN,AA,0
Tom,Manning,CF,Free Agent,A,0
Bobby,Patterson,RF,Free Agent,A,0
Paul,Scribner,P,Free Agent,A,0
Hugo,Clevenger,P,Free Agent,A,0
John,Ilacqua,P,Free Agent,A,0
Terrence,Phillips,P,Free Agent,A,0
Luis,Todd,P,IDA,AA,0
Sam,Harger,3B,FRIS,AAA,0
Nathan,Pontious,RF,CASP,A,0
Russell,Tinker,P,NORW,A,0
Jarrett,Gomez,2B,ALTO,AA,0
Robert,Alaniz,2B,IDA,ML,2
Henry,Walton,SS,ROME,AA,0
Fernando,Shannon,P,PEOR,A,0
Mike,Scott,P,IDA,A,0
Larry,Pembroke,RF,MAHO,ML,1
Francisco,Knight,P,ROCK,ML,4
Mike,Herren,SS,PEOR,AA,0
Errol,Bernier,P,Free Agent,A,0
Javier,Oestreich,P,MAIN,ML,5
Boyd,Pierce,P,Free Agent,A,0
Murray,Delfuente,P,HILL,A,0
Wendell,Green,P,MAHO,A,0
Jeffrey,Ruffin,P,DAY,AAA,0
Harold,Tony,P,Free Agent,A,1
Tim,Turner,P,Free Agent,A,0
Laurence,Brown,P,Free Agent,A,0
Jack,Quinn,P,MAIN,ML,5
Grady,Powell,P,ALTO,A,0
Jim,Mulch,1B,Free Agent,A,0
Dave,Bussell,P,FRIS,ML,3
Curtis,Hubble,P,HILL,A,0
Earl,Laseter,P,OMA,A,0
Sterling,Mills,RF,AUCK,ML,2
Kenneth,McGinnis,SS,Free Agent,A,0
Benjamin,Koback,SS,Free Agent,A,0
Mike,Purnell,LF,NORW,AAA,0
Darrell,Harris,P,AUCK,A,0
Joseph,McFann,C,PORT,A,0
Mike,Talamante,2B,MAHO,A,0
Stanley,Underwood,C,HILL,AAA,0
Carlos,Pollard,3B,RICH,ML,3
Byron,Moffitt,1B,CASP,A,0
Leonel,Irvin,1B,EDMO,ML,4
Tariq,Bacon,P,RICH,AAA,0
Erick,Serb,LF,ALTO,AA,0
Erik,Sims,3B,RICH,A,0
Ivan,Richter,C,EDMO,AA,0
Frederick,Calhoun,C,Free Agent,A,0
Brian,Brook,RF,ROME,A,0
Lew,Ramos,P,DAY,ML,13
Jeff,Jones,CF,IDA,AA,0
Wendell,Musick,LF,MAIN,A,0
Bill,Cortez,LF,NORW,AA,0
Steve,Swafford,P,MAIN,A,1
Otto,Gallagher,1B,Free Agent,A,3
Charlie,Paragas,P,SUGR,AAA,0
Ed,Cata,P,MAIN,AAA,0
Fred,Drake,P,MAIN,AAA,0
Howard,Scott,2B,Free Agent,A,0
Briley,Knight,LF,FRIS,ML,9
Steve,Amicone,P,CHES,AAA,1
Pat,Rueckert,P,DAY,AAA,0
Erik,Pearson,P,CASP,ML,2
Sidney,Perkowski,3B,Free Agent,A,0
Roberto,Ennis,1B,MAHO,ML,0
Long,Machey,1B,SCRN,A,0
Jorge,Brevig,SS,Free Agent,A,0
Shane,Beebe,C,ALTO,A,0
Roger,Aldaco,P,LOUI,AAA,0
Benjamin,Lopez,1B,Free Agent,A,0
Dave,Buchert,2B,CASP,A,0
Rube,McGee,3B,AUCK,A,0
Matthew,Sullins,RF,Free Agent,A,0
Irving,Jackson,P,Free Agent,A,0
Mike,Schultz,P,Free Agent,A,0
Antonio,Rice,3B,FRIS,ML,2
Kelvin,Bonner,P,RICH,AA,0
Lawrence,Jackson,P,MIDL,AAA,0
Johnny,Billiot,SS,MAIN,ML,0
Maximo,Scher,P,ELP,AA,0
Gerald,Starkes,P,Free Agent,A,0
Harry,Schloop,P,Free Agent,A,0
Benito,Leider,P,FRIS,A,7
Joe,Ahern,SS,MAIN,A,0
Roland,Scarbrough,P,EDMO,AA,0
Cody,Perry,P,OMA,ML,3
Duane,McCaslin,P,Free Agent,A,0
Greg,Williams,P,LYNC,ML,3
Juan,Larrea,3B,SF,AA,0
John,Kulp,P,ELP,AAA,0
Jeffrey,Rider,3B,SUGR,AAA,1
Brock,Sherretts,2B,AUCK,ML,7
Wilton,Dazey,P,Free Agent,A,0
Henry,Francis,P,CHES,AA,0
Don,Montgomery,1B,PORT,AAA,0
Carl,Bloom,LF,LOUI,A,0
Gary,Somer,CF,SF,AAA,0
Irvin,Trull,P,FRIS,AA,0
Ed,Breunig,P,ELP,ML,1
Fran,Hon,P,OMA,AA,0
Dave,Downs,P,NORW,AA,0
Bob,Hull,1B,PORT,AAA,0
Jerry,McColl,C,Free Agent,A,1
Jonathan,Laroque,2B,OMA,A,9
Tomas,Press,RF,PORT,ML,0
Frank,Craig,RF,SF,AAA,0
Mark,Daffin,CF,SF,A,0
Vincent,Jimerson,RF,SCRN,A,0
H.E.,Pennypacker,P,WISC,A,11
Tom,Burgess,LF,MAIN,ML,0
Maz,Lippert,CF,ALTO,ML,11
Bob,Curry,P,ROME,ML,1
Carl,Brown,3B,ELP,AA,0
Sean,McFadden,P,PEOR,A,0
Rob,Bolden Jr,P,HILL,A,0
Andrew,Carman,P,ROCK,A,0
John,New,LF,Free Agent,A,0
Antonio,Archibold,LF,Free Agent,A,0
Duane,Sotello,RF,ALTO,AA,0
Bill,Sheladia,1B,OMA,A,12
Gary,Garlington,P,CHES,A,0
Joe,Sith,P,CHES,A,0
Ivan,Glassner,P,WISC,ML,5
Ted,Canter,P,SF,A,0
Curtis,McDowell,2B,RICH,AA,0
Tom,Wayne,SS,WISC,AA,0
Everett,Kirschner,P,DAY,A,0
Floyd,Lemon,P,HILL,A,13
John,Kruczek,CF,TEX,ML,21
John,Lara,P,PORT,A,0
Joe,Novinger,P,Free Agent,A,1
Sean,Petty,3B,Free Agent,AAA,0
Nicholas,Genis,P,PORT,ML,0
Alton,Bartley,1B,SCRN,AAA,0
Eduardo,Lindsey,P,AUCK,A,0
Benjamin,Hornigold,3B,AUCK,ML,7
Robert,Lagrant,SS,LYNC,AAA,0
Perry,Englebrecht,LF,Free Agent,A,0
Rich,Bonilla,P,NORW,A,0
Joe,Fuentes,CF,FRIS,AAA,0
Jeffrey,Aucoin,SS,Free Agent,A,2
Cory,Mendoza,P,Free Agent,A,0
Glen,Askew,P,Free Agent,A,3
Juan,MacAri,C,NORW,AA,0
Anthony,Micelli,2B,CHES,ML,3
Ken,Hayes,SS,ROME,A,0
Bill,Shortes,LF,CASP,A,0
Stuart,Moir,3B,CASP,AAA,0
Shane,Falco,P,LYNC,ML,6
Emery,Pietz,2B,Free Agent,A,0
Jackie,Locke,C,FRIS,A,0
Marcus,Webb,LF,LOUI,A,9
Nathan,Grant,P,SCRN,ML,3
Hurley,Burley,P,Free Agent,A,14
Anthony,Armstrong,1B,FRIS,A,0
Matt,Paulson,P,ELP,AAA,0
Hub,Sallie,SS,RICH,A,0
Terry,Aberle,SS,Free Agent,A,0
Jacques,Daughtridge,RF,Free Agent,A,0
Jim,Seay,3B,AUCK,AAA,1
Tyler,Singleton,P,ELP,AAA,0
Larry,Baxter,C,CASP,A,0
Roland,Burdette,CF,Free Agent,A,0
Jeffrey,Holtgrewe,RF,Free Agent,A,0
Frank,Lin,LF,ELP,ML,2
Matt,Barron,2B,TEX,AAA,0
Shon,Dennis,P,WISC,A,13
Jim,Day,C,TEX,A,0
Murray,Lewis,P,RICH,ML,12
Wilburn,McGee,P,Free Agent,A,0
Malik,Holtz,P,Free Agent,A,0
Nathan,Struiksma,1B,IDA,A,0
Sung,Peralto,SS,AUCK,ML,0
Tomas,Peeling,2B,Free Agent,A,0
Arnold,Ernstes,LF,PEOR,AA,2
Cletus,Freeman,3B,LAKE,AA,0
Tommy,Arnold,P,CHES,AAA,0
Donald,Morgan,3B,SCRN,A,0
Ken,Boynton,1B,MAHO,ML,2
John,Alvelo,SS,ROCK,A,0
John,Ganino,P,SCRN,ML,2
Everette,Chavez,C,AUCK,AA,0
Matthew,Swartz,CF,MIDL,ML,2
John,Shimko,LF,LAKE,A,0
Douglas,Staines,CF,ROME,A,0
Randall,Murphy,LF,LYNC,AA,0
Sam,Hill,P,Free Agent,A,0
Juan,Murphy,RF,ALTO,A,0
Tris,Bauer,P,PEOR,A,0
Harold,Ogg,C,LAKE,AA,0
Norm,Hassler,P,ROCK,AAA,0
Douglas,Carson,1B,ALTO,ML,6
Issac,Leonard,P,CHES,A,0
Brian,Mauricio,RF,SUGR,ML,4
Rodger,Whitfield,P,Free Agent,A,0
Barry,Kemerling,P,PEOR,A,0
Anthony,McPheron,C,ROME,ML,0
Ivan,Cunningham,P,Free Agent,A,0
Osvaldo,Law,P,MAIN,AA,0
Craig,Guzy,P,Free Agent,A,0
Al,Starbuck,P,SCRN,AA,0
Frank,Howell,CF,FRIS,AAA,0
Lyle,Hale,P,Free Agent,A,0
Ed,Holzhauer,CF,RICH,AA,0
Lionel,Buzbee,P,CHES,AAA,0
Jose,Rudd,P,ELP,AAA,0
Anthony,Rosenzweig,P,SUGR,AA,0
Stefan,Stover,P,OMA,AA,0
Donnie,Wollner,P,NORW,ML,2
William,Riker,P,RICH,AAA,0
Dwayne,Korpal,P,OMA,AAA,0
Travis,Simmons,P,AUCK,A,0
John,Kelly,2B,CASP,AA,0
Miguel,Perez,LF,IDA,ML,0
Mervin,Banks,P,ALTO,A,0
Bernardo,Shrewsberry,C,Free Agent,A,0
Michael,Westling,P,ROME,A,0
Charles,Leblanc,CF,Free Agent,A,0
George,Roth,1B,CASP,AA,0
Bill,Dawdy,P,IDA,A,1
Jaime,Dunn,P,ALTO,AAA,1
Artemis,Falkmore,P,Free Agent,A,2
Demetrius,Hanson,2B,TEX,AA,0
Curtis,Robinson,SS,Free Agent,A,0
Alejandro,Giacopelli,SS,SCRN,AA,0
Erik,Johnson,P,OMA,A,0
Nathan,Vessella,P,OMA,A,0
John,Whitlock,SS,MAIN,AAA,0
Bob,Keene,RF,Free Agent,A,11
Bennett,Burge,1B,PEOR,AAA,0
Bob,Pennel,P,PEOR,A,0
Charlie,Xiong,SS,CASP,AA,0
Scott,Lefevre,LF,CASP,AA,0
Gary,Curley,P,FRIS,AAA,0
Ruben,Hoffler,3B,NORW,AA,0
Ken,Garland,3B,Free Agent,A,0
Winston,Savini,1B,IDA,AAA,0
Timmy,Foster,3B,MAHO,ML,5
Daniel,Reyes,3B,OMA,AA,0
Harry,Da Souza,LF,MAIN,ML,1
Jason,Macchio,1B,ELP,A,0
Ray,Lafoe,LF,Free Agent,A,0
Jim,Stover,LF,PORT,A,0
Jason,Williams,1B,CHES,AAA,0
Bobby,Johnson,P,SCRN,AAA,0
Stanley,Machlin,RF,SCRN,AA,0
Adam,Conner,P,LOUI,ML,7
Lazaro,Tuholski,P,Free Agent,A,0
Jeffrey,Wentzell,CF,NORW,A,0
Antione,Geary,CF,TEX,AAA,0
Raymond,Holt,P,SF,ML,7
Jerry,Wormington,P,Free Agent,A,0
Roy,Vargas,1B,SCRN,ML,1
Moxie,Battle,C,MIDL,AA,0
Walt,Wallace,2B,WISC,A,0
Ed,Torsiello,P,Free Agent,A,0
Pedro,Mihaila,P,ROME,AA,0
David,Blosser,P,ROCK,A,0
Armand,Dean,P,Free Agent,A,0
Randall,Murray,P,FRIS,AA,0
Willie,Gallegos,P,NORW,A,5
Charles,Vanorder,P,MAHO,AA,0
Sammie,Pyanowski,2B,RICH,A,0
Jackson,Bennett,RF,Free Agent,A,0
